Título,Conteúdo_Comentário,Status_resposta,Data_Comentário,URL_Título
Conta Hackeada não ha contato de emergencia,"Estou com problema na retirada do meu dinheiro junto a avenue, anteriormente eu tinha solicitado o encerramento da conta, na mesma",Não respondida,Há 20 horas,https://www.reclameaqui.com.br/avenue-securities/conta-hackeada-nao-ha-contato-de-emergencia_R3s7nn1NHlCRUvBw/
Erro de retirada,,Não respondida,Há 2 dias,https://www.reclameaqui.com.br/avenue-securities/erro-de-retirada_XNtMdRqIPiYcND4S/
Cobrança indevida de corretagem,"Meu plano é com três corretagens grátis no mês, e fui surpreendido com a cobrança de corretagem de USD 2.50 na minha primeira oper",,Há 2 dias,https://www.reclameaqui.com.br/avenue-securities/cobranca-indevida-de-corretagem_iywp76Pupg37ZYnN/
Transferência de Corretora,"Dia 23/03/23 iniciei a transferência da minha conta para a Interactive Broker, fiz isso principalmente por não conseguir negociar ",Não respondida,Há 2 dias,https://www.reclameaqui.com.br/avenue-securities/transferencia-de-corretora_v_hwHYv3xmG42C53/
Impossível sacar Bitcoins,A corretora não me permite transferir o saldo em BTC para minha cold wallet. Diz que o limite é insuficiente.  Pedi aumento do lim,,Há 4 dias,https://www.reclameaqui.com.br/avenue-securities/impossivel-sacar-bitcoins_f2A3dqaP5p86AZO2/
Cobrança de taxa sem aviso,"Eu realizei uma operação de portabilidade dos meus investimentos internacionais da XP International para a Avenue, através do méto",Não respondida,Há 5 dias,https://www.reclameaqui.com.br/avenue-securities/cobranca-de-taxa-sem-aviso_eoGgiW0UbgAi1iJr/
Não consigo alterar senha,perdi meu celular e porem nao consigo alterar a senha pois pede o numero do mesmo e tento entrar num chat que nunca funciona.,,Há 5 dias,https://www.reclameaqui.com.br/avenue-securities/nao-consigo-alterar-senha_Leuq0_SI83snWWTF/
Minhas cotas VNQ sumiram da conta,"Minhas 3 cotas VNQ sumiram da conta, nesta data.",,Há 5 dias,https://www.reclameaqui.com.br/avenue-securities/minhas-cotas-vnq-sumiram-da-conta_1_AZce-iW5KAqotR/
Não consigo alterar meu número de celular cadastrado,Estou há dias tentando alterar meu número celular cadastrado na minha conta Avenue. Tentei tanto pelo app quanto pelo site e não c,,Há 6 dias,https://www.reclameaqui.com.br/avenue-securities/nao-consigo-alterar-meu-numero-de-celular-cadastrado_rx0oo30-au7B5XfK/
A Avenue calculou o meu Imposto errado!!!,"A Avenue me mandou um imposto para pagar de Fevereiro, muito superior do que os 15% em ganho de capital em ações. E para piorar, n",,Há 6 dias,https://www.reclameaqui.com.br/avenue-securities/a-avenue-calculou-o-meu-imposto-errado_zkKgx_epqcM42SVG/
Encerrar Conta,"Olá,  apareceu uma conta criada em meu nome no dia 28/02/2023 e não tenho nenhum conhecimento sobre, gostaria do encerramento dess",,Há 6 dias,https://www.reclameaqui.com.br/avenue-securities/encerrar-conta_7YAdUTBUUj1yqzx9/
Não consigo tirar meu dinheiro,"Coloquei dinheiro na Avenue porque iria realizar um intercâmbio, e até então, era uma boa opção. Entretanto tá se tornando um terr",,Há 6 dias,https://www.reclameaqui.com.br/avenue-securities/nao-consigo-tirar-meu-dinheiro_6zXevthlAuKoY8U-/
Imposto de renda,"Não estou conseguindo declarar meu imposto de renda ano calendário 2023, pois existem pendências para o cálculo de relatórios. Sen",Não respondida,Há 6 dias,https://www.reclameaqui.com.br/avenue-securities/imposto-de-renda_mqXrTvYO0G-hocAV/
Conta com saldo negativo.,"Há algum tempo ingressei no mundo dos investimentos e, com isso, buscando diversidade, procurei também uma empresa pela qual eu pu",,Há 7 dias,https://www.reclameaqui.com.br/avenue-securities/conta-com-saldo-negativo_24u_Fl_6sxQm_uQV/
Cobrança indevida,"Tentei comprar o cartão  metrocard em Nova York com o cartão físico da avenue, porém a máquina negou as três tentativas. ",,Há 8 dias,https://www.reclameaqui.com.br/avenue-securities/cobranca-indevida_i0dva5dwuIOD5K_H/
Conta Aberta no Registrato Sem Ter Cadastrado,"Olá, pessoal, há muito tempo atrás tive contato com vocês. Acredito que encerrei bem há uns 5 anos. Ontem acessei meu Registrato e",,Há 8 dias,https://www.reclameaqui.com.br/avenue-securities/conta-aberta-no-registrato-sem-ter-cadastrado_X_MnP8bUl9nVUUSo/
Não reconheço abertura de conta,"Em consulta ao Registrato do Bacen, verifiquei que consta uma conta aberta em meu nome na referida instituição (Registro: 61.384.0",,Há 8 dias,https://www.reclameaqui.com.br/avenue-securities/nao-reconheco-abertura-de-conta_IIURZz14Wk3SBvFw/
Transferência de custódia,Fiz contato através do chat da Avenue em 15/03 para realizar a transferência de custodia da Fidelity para a Avenue. Fui informada,,Há 8 dias,https://www.reclameaqui.com.br/avenue-securities/transferencia-de-custodia_N2q_l1msg0S0fdMv/
Péssimo suporte ao cliente,"Primeiro que já começam errado liberando o relatório anual do IRPF no dia que começa a declaração, pois TODOS os bancos/corretoras",,Há 8 dias,https://www.reclameaqui.com.br/avenue-securities/pessimo-suporte-ao-cliente_sv-Bu6NcGWCUYuu2/
Registro de conta no Banco Central,"Periodicamente acesso o Registrato do Banco Central do Brasil para ver as contas abertas em meu nome, e para a minha surpresa onte",,Há 9 dias,https://www.reclameaqui.com.br/avenue-securities/registro-de-conta-no-banco-central_FGeDgURrM3w1Gocf/
Impossível liquidar posição BPYPM,"Possuo uma quantidade fracionada do ativo BPYPM e estou tentando vender o mesmo na plataforma. Porém, sempre recebo essa mensagem ",,Há 9 dias,https://www.reclameaqui.com.br/avenue-securities/impossivel-liquidar-posicao-bpypm_DYH3_YQ6vEpWiU2l/
Não recebi o comprovante da suposta comunicação que não recebi,"Recebi uma ligação da Avenue dizendo que iria me enviar por e-mail o comprovante da comunicação que supostamente foi feita, e até ",,Há 10 dias,https://www.reclameaqui.com.br/avenue-securities/nao-recebi-o-comprovante-da-suposta-comunicacao-que-nao-recebi_WVVcHM-4uG7vwEdq/
cancelamento de conta,"tenho protocolo de cancelamento de conta com a confirmação de vocês no dia 20/01/2023, porem ao pesquisar no registrato vocês abri",,Há 10 dias,https://www.reclameaqui.com.br/avenue-securities/cancelamento-de-conta_kxbKPdFbrwbxdYFl/
Nao consigo acessar minha conta pois preciso mudar o numero de telefone.,Necessito urgentemente acessar minha conta mas como nao tenho mais meu numero de celular antigo não consigo colocar o codigo que e,,Há 11 dias,https://www.reclameaqui.com.br/avenue-securities/nao-consigo-acessar-minha-conta-pois-preciso-mudar-o-numero-de-telefone_t2P8jDejbxxnC8mu/
CANCELAMENTO DE CONTA,"Há muito tempo abri uma conta na Avenue, tinha pouca coisa investida lá e nem mexia mais, até que no dia 10/03 recebi um e-mail in",,Há 12 dias,https://www.reclameaqui.com.br/avenue-securities/cancelamento-de-conta_XuC3AeYivxkDXRFZ/
Bloquearam a minha conta com mais de 100 mil DÓLARES,"Abri a constatação de uma compra de 2,91 dólares para bloquearem meu cartão por questão de segurança até eu resolver e eles bloque",,Há 12 dias,https://www.reclameaqui.com.br/avenue-securities/bloquearam-a-minha-conta-com-mais-de-100-mil-dolares_PwbFnlIXJ8WXxBWj/
Fomos [Editado pelo Reclame Aqui],Eu e minha namorada fizemos gastos com o cartão de débito Avenue no Uruguai em 31/12/22. No dia 15/02/23 a empresa debitou de noss,,Há 12 dias,https://www.reclameaqui.com.br/avenue-securities/fomos_v9JSppRukjAocvze/
Encerramento de conta,Não consigo encerrar a conta e vejo este o único meio de encerramento.Solicito encerramento de minha conta Avenue.,,Há 12 dias,https://www.reclameaqui.com.br/avenue-securities/encerramento-de-conta__4zFKYT1gXSQGuvt/
Dificuldade extrema de sacar meu saldo em reais no Brasil,"Estou 10 dias num processo estranho e assustador de sacar R$ 382,30 da corretora Avenue situada nos EUA  Porem com site representa",,Há 12 dias,https://www.reclameaqui.com.br/avenue-securities/dificuldade-extrema-de-sacar-meu-saldo-em-reais-no-brasil_V0wA1Xz8Nj6gFNpt/
Encerramento de conta,Gostaria de encerrar a minha conta nesta plataforma tendo em vista que eu não faço uso dos serviços disponibilizados.Porém p,,Há 13 dias,https://www.reclameaqui.com.br/avenue-securities/encerramento-de-conta_lcktamN1TA5Jxvu-/
Falta de acesso conta avenue.,"Não estou conseguindo cadastrar nova senha , já tentei inúmeras combinações diferentes mas sempre encontro uma mensagem dizendo qu",,Há 13 dias,https://www.reclameaqui.com.br/avenue-securities/falta-de-acesso-conta-avenue_R4uJ3LcKybdSXlEK/
Cancelamento de conta,No dia 14/03/23 de e-mail mandei e-mail para a Avenue (*******) para cancelar minha conta. Já se passaram 6 dias e não obtiv,,Há 13 dias,https://www.reclameaqui.com.br/avenue-securities/cancelamento-de-conta_W7mx3XwNywte-l3h/
REGISTRATO APARECENDO 61.384.004 - AVENUE SECURITIES DTVM LTDA.,"Verifiquei o cadastro dessa conta no meu cadastro registrato do banco central em 18/03/2022, porém já solicitei o encerramento com",,Há 15 dias,https://www.reclameaqui.com.br/avenue-securities/registrato-aparecendo-61-384-004-avenue-securities-dtvm-ltda_4KmSTsdsKrbVh08Z/
Plataforma não aceita ordens de venda de criptoativos - prejuízo em virtude disto,No dia 17/3/23 tentei várias vezes vender minhas criptomoedas e não consegui. As ordens eram rejeitas todas as vezes. O atendiment,,Há 15 dias,https://www.reclameaqui.com.br/avenue-securities/plataforma-nao-aceita-ordens-de-venda-de-criptoativos-prejuizo-em-virtude_8FtGe7_YarjLEpYb/
Aplicativo para perder dinheiro.,"Ao baixar e se cadastrar no aplicativo, vc já é automaticamente cadastrado no plano Premium, onde, para cada movimentação levam um",,Há 16 dias,https://www.reclameaqui.com.br/avenue-securities/aplicativo-para-perder-dinheiro_yVUkHrdshRNKZlP8/
TAXA DE TRANSFERÊNCIA WIZE,"A AVENUE NÃO COBRAVA NENHUMA TAXA DE TRANSFERÊNCIA WIZE POR TRANSFERÊNCIA WIZE EM ATÉ MARÇO DE 2021, EM SEGUIDA, NO PRÓPRIO ANO 20",,Há 16 dias,https://www.reclameaqui.com.br/avenue-securities/taxa-de-transferencia-wize_p7_yL3YfMs5sSy-e/
PEDIDO NÃO FOI ENTREGUE,PrezadosMeu pedido não foi entregue e após verificar o status de rastreio acusou que já foi realizado três tentativas,,Há 16 dias,https://www.reclameaqui.com.br/avenue-securities/pedido-nao-foi-entregue_tWcCM-7XgsQqU7Ym/
Não consigo cancelar,"Percebi que desde o ano passado o dinheiro que tinha deixado nessa empresa, em moeda internacional, começou a ter um desconto por ",,Há 17 dias,https://www.reclameaqui.com.br/avenue-securities/nao-consigo-cancelar_DL6QQunheTtA9zXC/
Saldo em conta incorreto,"Meu saldo consta como negativo e bloqueado, porem esta incorreto. Eu tenho saldo e não estou conseguindo realizar nenhuma operação",,Há 17 dias,https://www.reclameaqui.com.br/avenue-securities/saldo-em-conta-incorreto_ttcN-mEoZteng3AB/
Impossivel falar com um atendente para resolver um problema!,Estou a dias tentando falar com um atendente para resolver um problema de saldo negativo devido à inatividade e é impossível falar,,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/impossivel-falar-com-um-atendente-para-resolver-um-problema_PXiaot0g0U3t82PX/
Dificuldade em cancelar conta Avenue,Tentei cancelar a minha conta digital na Avenue e o problema começa que eles só cancelam por telefone. Liguei no contato informado,,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/dificuldade-em-cancelar-conta-avenue_Yxpb96_pqxG1wy1C/
Uso Indevido do meu e-mail,Estão usando meu e-mail em alguma conta da Avenue indevidamente. Com base na LGPD solicito que seja desvinculado meu e-mail dessa,,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/uso-indevido-do-meu-e-mail_tG0HAg4JBa7ZOO11/
"CONTA ENCERRADA, REABERTA INDEVIDAMENTE","No dia 03/02/2021, solicitei o encerramento da minha Conta Avenue no e-mail *******, , no dia 12/02/2021, recebi um retorno da Ave",,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/conta-encerrada-reaberta-indevidamente_5wy-llGYuM2JGiG1/
Resolução do atendente no chat nota ZERO,Fui vítima de um [Editado pelo Reclame Aqui] com o meu cartão da Avenue e entrei em contato com um agente através do chat. Depois,,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/resolucao-do-atendente-no-chat-nota-zero_sA5ZRE3YeGnalNVu/
Cobrança indevida na conta,"Reparei recentemente que a Avenue começou a me cobrar valores mensais pro falta de uso da conta, coisa que nunca havia acontecido ",,Há 18 dias,https://www.reclameaqui.com.br/avenue-securities/cobranca-indevida-na-conta_IHXT_7f77AyH9aNd/
